"","SEASON","TEAM","MARGIN","PY_A","DPY_A","RY_A","DRY_A","TO","DTO","RET_TD"
"1",2018,"ARI",-200,4.6,5.8,3.8,4.8,28,16,3
"2",2018,"ATL",-9,7,6.6,4.5,4.9,18,18,2
"3",2018,"BAL",102,6,5.4,4.4,3.7,19,17,4
"4",2018,"BUF",-105,5.1,5.4,4.2,4.2,30,26,0
"5",2018,"CAR",-6,6.4,6.8,5.1,4.7,20,22,0
"6",2018,"CHI",138,6.5,5.2,4.1,3.8,24,35,6
"7",2018,"CIN",-87,5.6,7.1,4.7,4.7,16,18,5
"8",2018,"CLE",-33,6.5,6.2,4.6,4.7,23,31,0
"9",2018,"DAL",15,6.1,6.5,4.5,3.8,17,20,1
"10",2018,"DEN",-20,5.9,6.6,4.8,4.5,20,26,2
"11",2018,"DET",-36,5.8,6.6,4.1,4.4,18,12,2
"12",2018,"GB",-24,6.1,6.6,5,4.3,10,14,2
"13",2018,"HOU",86,6.6,6.5,4.3,3.4,15,26,4
"14",2018,"IND",89,6.7,6.6,4.2,3.9,24,25,0
"15",2018,"JAX",-71,5.3,5.8,4.1,4.3,28,15,3
"16",2018,"KC",144,8.1,6.3,4.8,4.9,18,26,5
"17",2018,"LA",143,7.5,6.6,4.8,5.1,18,29,5
"18",2018,"LAC",99,7.4,6.2,4.7,4.3,17,19,3
"19",2018,"LV",-177,6.2,7.8,4.2,4.7,24,17,2
"20",2018,"MIA",-114,5.7,7.3,4.7,4.8,23,26,5
"21",2018,"MIN",19,6.2,5.7,4.2,4.1,20,19,3
"22",2018,"NE",111,7.1,6.2,4.3,4.9,16,28,4
"23",2018,"NO",151,7.5,6.9,4.3,3.6,16,24,1
"24",2018,"NYG",-43,6.4,6.8,4.6,4.3,17,21,5
"25",2018,"NYJ",-108,5.6,6.5,4,4.6,28,19,5
"26",2018,"PHI",19,6.7,6.4,3.9,4.7,22,16,0
"27",2018,"PIT",68,7,6,4.2,4.2,26,14,3
"28",2018,"SEA",81,6.5,6.5,4.8,4.9,11,24,2
"29",2018,"SF",-93,6.6,6.4,4.5,4.1,30,7,2
"30",2018,"TB",-68,7.7,7.2,3.9,4.6,35,15,1
"31",2018,"TEN",7,6.1,6.1,4.5,4.3,17,17,3
"32",2018,"WAS",-78,5.4,6.5,4.3,4.5,19,25,1
"33",2019,"ARI",-81,5.7,7,5,4.4,18,16,0
"34",2019,"ATL",-18,6.4,6.9,3.7,4.2,23,15,5
"35",2019,"BAL",249,6.9,5.7,5.5,4.4,14,24,6
